tweet_id,customer_text,gold_intent,gold_response_quality,gold_escalation_decision,notes
t001,@VerizonSupport I cannot log in to my Verizon account,account_access,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t002,@VerizonSupport My password reset email never arrives,account_access,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t003,@VerizonSupport My account is locked after multiple tries,account_access,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t004,@VerizonSupport The app keeps signing me out,account_access,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t005,@VerizonSupport I need help getting back into my account,account_access,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t006,@VerizonSupport I cannot log in to my Verizon account,account_access,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t007,@VerizonSupport My password reset email never arrives,account_access,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t008,@VerizonSupport My account is locked after multiple tries,account_access,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t009,@VerizonSupport The app keeps signing me out,account_access,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t010,@VerizonSupport I need help getting back into my account,account_access,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t011,@VerizonSupport I cannot log in to my Verizon account,account_access,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t012,@VerizonSupport My password reset email never arrives,account_access,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t013,@VerizonSupport My account is locked after multiple tries,account_access,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t014,@VerizonSupport The app keeps signing me out,account_access,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t015,@VerizonSupport I need help getting back into my account,account_access,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t016,@VerizonSupport I cannot log in to my Verizon account,account_access,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t017,@VerizonSupport My password reset email never arrives,account_access,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t018,@VerizonSupport My account is locked after multiple tries,account_access,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t019,@VerizonSupport The app keeps signing me out,account_access,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t020,@VerizonSupport I need help getting back into my account,account_access,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t021,@VerizonSupport I cannot log in to my Verizon account,account_access,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t022,@VerizonSupport My password reset email never arrives,account_access,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t023,@VerizonSupport My account is locked after multiple tries,account_access,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t024,@VerizonSupport The app keeps signing me out,account_access,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t025,@VerizonSupport I need help getting back into my account,account_access,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t026,@VerizonSupport Why was my bill higher than usual,billing_issue,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t027,@VerizonSupport I was charged twice this month,billing_issue,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t028,@VerizonSupport There is a refund not showing on my bill,billing_issue,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t029,@VerizonSupport My payment failed but I was charged,billing_issue,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t030,@VerizonSupport I need help with a billing error,billing_issue,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t031,@VerizonSupport Why was my bill higher than usual,billing_issue,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t032,@VerizonSupport I was charged twice this month,billing_issue,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t033,@VerizonSupport There is a refund not showing on my bill,billing_issue,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
